"subjID","partner_type","block","error","rate"
"127","same","2","phonologically_related",0
"127","same","2","unrelated",0.0357142857142857
"127","different","1","compound",0
"127","different","1","semantically_related",0
"127","different","1","phonologically_related",0
"127","different","1","unrelated",0.111111111111111
"127","different","2","compound",0
"127","different","2","semantically_related",0.0714285714285714
"127","different","2","phonologically_related",0
"127","different","2","unrelated",0.0357142857142857
"128","same","1","compound",0
"128","same","1","semantically_related",0
"128","same","1","phonologically_related",0.0357142857142857
"128","same","1","unrelated",0.142857142857143
"128","same","2","compound",0.0357142857142857
"128","same","2","semantically_related",0.0357142857142857
"128","same","2","phonologically_related",0
"128","same","2","unrelated",0
"128","different","1","compound",0
"128","different","1","semantically_related",0
"128","different","1","phonologically_related",0
"128","different","1","unrelated",0.178571428571429
"128","different","2","compound",0
"128","different","2","semantically_related",0
"128","different","2","phonologically_related",0.0384615384615385
"128","different","2","unrelated",0.0769230769230769
"130","same","1","compound",0
"130","same","1","semantically_related",0.0714285714285714
"130","same","1","phonologically_related",0.0357142857142857
"130","same","1","unrelated",0.25
"130","same","2","compound",0.0357142857142857
"130","same","2","semantically_related",0.0357142857142857
"130","same","2","phonologically_related",0
"130","same","2","unrelated",0.0357142857142857
"130","different","1","compound",0
"130","different","1","semantically_related",0.0357142857142857
"130","different","1","phonologically_related",0
"130","different","1","unrelated",0.321428571428571
"130","different","2","compound",0
"130","different","2","semantically_related",0.0357142857142857
"130","different","2","phonologically_related",0
"130","different","2","unrelated",0.142857142857143
"131","same","1","compound",0
"131","same","1","semantically_related",0.0357142857142857
"131","same","1","phonologically_related",0
"131","same","1","unrelated",0.0357142857142857
"131","same","2","compound",0
"131","same","2","semantically_related",0
"131","same","2","phonologically_related",0
"131","same","2","unrelated",0.0714285714285714
"131","different","1","compound",0
"131","different","1","semantically_related",0.111111111111111
"131","different","1","phonologically_related",0
"131","different","1","unrelated",0.0740740740740741
"131","different","2","compound",0
"131","different","2","semantically_related",0.0714285714285714
"131","different","2","phonologically_related",0
"131","different","2","unrelated",0.0357142857142857
"132","same","1","compound",0
"132","same","1","semantically_related",0.037037037037037
"132","same","1","phonologically_related",0
"132","same","1","unrelated",0.0740740740740741
"132","same","2","compound",0
"132","same","2","semantically_related",0.0740740740740741
"132","same","2","phonologically_related",0
"132","same","2","unrelated",0.0740740740740741
"132","different","1","compound",0
"132","different","1","semantically_related",0
"132","different","1","phonologically_related",0
"132","different","1","unrelated",0.259259259259259
"132","different","2","compound",0
"132","different","2","semantically_related",0
"132","different","2","phonologically_related",0
"132","different","2","unrelated",0.107142857142857
"133","same","1","compound",0
"133","same","1","semantically_related",0.0714285714285714
"133","same","1","phonologically_related",0
"133","same","1","unrelated",0.107142857142857
"133","same","2","compound",0
"133","same","2","semantically_related",0.0714285714285714
"133","same","2","phonologically_related",0
"133","same","2","unrelated",0.142857142857143
"133","different","1","compound",0
"133","different","1","semantically_related",0.0357142857142857
"133","different","1","phonologically_related",0
"133","different","1","unrelated",0.392857142857143
"133","different","2","compound",0
"133","different","2","semantically_related",0.0357142857142857
"133","different","2","phonologically_related",0
"133","different","2","unrelated",0.392857142857143
"134","same","1","compound",0
"134","same","1","semantically_related",0.0714285714285714
"134","same","1","phonologically_related",0
"134","same","1","unrelated",0.214285714285714
"134","same","2","compound",0
"134","same","2","semantically_related",0.0714285714285714
"134","same","2","phonologically_related",0.0357142857142857
"134","same","2","unrelated",0.0357142857142857
"134","different","1","compound",0.0357142857142857
"134","different","1","semantically_related",0
